report_date_as_yyyy_mm_dd,cftc_contract_market_code,contract_market_name,open_interest_all,lev_money_positions_long,lev_money_positions_short,asset_mgr_positions_long,asset_mgr_positions_short,dealer_positions_long_all,dealer_positions_short_all,other_rept_positions_long,other_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all
2006-11-14T00:00:00.000,098662,USD INDEX,34532,19419,12793,0,181,10526,13739,306,1988,1323,2873
2006-11-14T00:00:00.000,099741,EURO FX,170609,56684,9314,21625,4012,19295,110144,4980,2905,54825,31034
2006-11-14T00:00:00.000,112741,NZ DOLLAR,15514,9757,379,2135,0,878,12840,370,674,1822,1069
2006-11-14T00:00:00.000,232741,AUSTRALIAN DOLLAR,105229,69343,5828,769,1848,1211,86792,2483,879,30520,8979
2006-11-21T00:00:00.000,090741,CANADIAN DOLLAR,138113,22013,66676,4538,11243,68055,24865,4272,2959,32076,25211
2006-11-21T00:00:00.000,092741,SWISS FRANC,84320,5044,49095,450,563,61722,14653,450,483,13601,16473
2006-11-21T00:00:00.000,096742,BRITISH POUND,140587,87732,17589,6751,2072,9372,100760,1403,1297,33362,16902
2006-11-21T00:00:00.000,097741,JAPANESE YEN,258327,38258,126638,33239,6101,109436,61116,8947,1367,36997,31655
2006-11-21T00:00:00.000,098662,USD INDEX,33582,18553,11897,0,166,10386,13454,318,2052,1415,3103
2006-11-21T00:00:00.000,099741,EURO FX,178692,58168,8740,21351,3721,25082,119384,5913,3478,55522,30713
2006-11-21T00:00:00.000,112741,NZ DOLLAR,17654,12162,1263,1944,0,874,14089,150,831,2155,1102
2006-11-21T00:00:00.000,232741,AUSTRALIAN DOLLAR,108253,72374,7084,1814,1840,1409,87307,1302,1289,30647,10026
2006-11-28T00:00:00.000,090741,CANADIAN DOLLAR,124553,21389,50662,4578,12285,61376,26653,4517,4268,26951,24943
2006-11-28T00:00:00.000,092741,SWISS FRANC,78706,16859,36331,450,545,37820,26244,2205,534,19605,13285
2006-11-28T00:00:00.000,096742,BRITISH POUND,154081,100053,12334,5520,1530,9372,115472,1001,1368,35014,20256
2006-11-28T00:00:00.000,097741,JAPANESE YEN,252107,38807,92165,31382,5467,91049,83265,8079,1921,42671,29170
2006-11-28T00:00:00.000,098662,USD INDEX,37290,18290,16452,143,234,13874,10822,337,2466,1828,4498
2006-11-28T00:00:00.000,099741,EURO FX,207573,72313,11785,24985,2212,23290,133157,9120,1796,61446,42204
2006-11-28T00:00:00.000,112741,NZ DOLLAR,18078,12284,1027,2035,0,936,14387,203,1389,2137,792
2006-11-28T00:00:00.000,232741,AUSTRALIAN DOLLAR,123916,86929,9984,1833,1257,1559,100092,866,2000,31223,9077
2006-12-05T00:00:00.000,090741,CANADIAN DOLLAR,131624,19820,58369,4595,12308,67400,23596,5740,3263,27787,27806
2006-12-05T00:00:00.000,092741,SWISS FRANC,80908,21404,32139,450,545,28503,33218,2205,0,25781,12441
2006-12-05T00:00:00.000,096742,BRITISH POUND,151959,94106,13481,5281,1526,9331,109049,1488,2525,36404,20029
2006-12-05T00:00:00.000,097741,JAPANESE YEN,268136,35765,79579,28802,4931,86758,94179,9773,2203,49023,29229
2006-12-05T00:00:00.000,098662,USD INDEX,39682,12333,20455,105,310,16613,9281,6796,2459,1093,4435
2006-12-05T00:00:00.000,099741,EURO FX,223733,80295,13077,23037,2678,23504,144787,7404,3747,67280,37231
2006-12-05T00:00:00.000,112741,NZ DOLLAR,19768,14003,872,1836,0,1064,17007,444,648,2284,1104
2006-12-05T00:00:00.000,232741,AUSTRALIAN DOLLAR,129455,87404,8240,1590,1857,1147,105865,3438,4050,33691,7258
2006-12-12T00:00:00.000,090741,CANADIAN DOLLAR,165716,20439,65676,4582,11664,73523,24976,7111,2630,28571,29280
2006-12-12T00:00:00.000,092741,SWISS FRANC,92840,23491,33256,450,545,28313,34194,2599,0,22413,9271
2006-12-12T00:00:00.000,096742,BRITISH POUND,181580,102903,15176,3729,2491,10336,117236,1310,2339,35926,16962
2006-12-12T00:00:00.000,097741,JAPANESE YEN,276919,46294,100481,27850,4676,99093,92994,9529,819,45330,29126
2006-12-12T00:00:00.000,098662,USD INDEX,46967,18781,23525,0,309,18312,7464,304,2733,1112,4478
2006-12-12T00:00:00.000,099741,EURO FX,230245,82572,7682,20139,5580,25589,151515,6875,2959,65695,33134
2006-12-12T00:00:00.000,112741,NZ DOLLAR,22265,16055,1036,1399,0,1329,17806,103,1170,2199,1073
2006-12-12T00:00:00.000,232741,AUSTRALIAN DOLLAR,170902,91279,8630,1290,1482,4883,108342,979,3792,33542,9727
2006-12-19T00:00:00.000,090741,CANADIAN DOLLAR,183332,19761,69043,4702,12713,76413,27669,7787,2552,35658,32344
2006-12-19T00:00:00.000,092741,SWISS FRANC,54652,18656,28629,0,1033,14453,15972,1671,0,19675,8821
2006-12-19T00:00:00.000,096742,BRITISH POUND,149800,99166,10830,4474,5808,10444,114223,1957,2519,32828,15489
2006-12-19T00:00:00.000,097741,JAPANESE YEN,239042,14149,137632,27899,10592,148783,52102,7326,2552,37892,33171
