observation_date,USAPIEAMP01GPM
2021-07-01,0.7306103716
2021-08-01,0.2833816289
2021-09-01,0.7973141176
2021-10-01,1.6266355420
2021-11-01,0.7233521645
2021-12-01,-0.2813626951
2022-01-01,2.2188369361
2022-02-01,2.4838549376
2022-03-01,3.4390608858
2022-04-01,1.6935339280
2022-05-01,2.7392210282
2022-06-01,2.3487105943
2022-07-01,-2.2452728133
2022-08-01,-1.9615945340
2022-09-01,0.2131263537
2022-10-01,0.7812562026
2022-11-01,-0.4511828771
2022-12-01,-3.3185289516
